                Year                 Doy        Cinput(gC/s)      Foliage(gC/m2)        Woody(gC/m2)   Met_litter(gC/m2)   Str_litter(gC/m2)    Fast_soil(gC/m2)    Slow_soil(gC/m2)    Pass_soil(gC/m2)          I(gC/m2/s)  Residence time(yr)     Capacity(gC/m2)    Potential(gC/m2)
                  80                 365     0.224500000E-04     0.493534205E+03     0.104752375E+05     0.288125170E+02     0.143670557E+04     0.827065536E+02     0.233871471E+04     0.731814483E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.508436291E+04
                  81                 365     0.224500000E-04     0.142024608E+03     0.106152046E+05     0.665684113E+01     0.204766163E+03     0.265265618E+02     0.586473330E+04     0.736447150E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.303001966E+04
                  82                 365     0.224500000E-04     0.309876208E+03     0.106167098E+05     0.171253184E+02     0.522306499E+03     0.540321979E+02     0.574472915E+04     0.736237615E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.262684451E+04
                  83                 365     0.224500000E-04     0.398120964E+03     0.106181611E+05     0.227385906E+02     0.774981341E+03     0.692398034E+02     0.567060828E+04     0.736044040E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.233945958E+04
                  84                 365     0.224500000E-04     0.444513951E+03     0.106195602E+05     0.256897005E+02     0.970812975E+03     0.790395387E+02     0.562862297E+04     0.735860333E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.212674137E+04
                  85                 365     0.224500000E-04     0.468904173E+03     0.106209092E+05     0.272411899E+02     0.112005591E+04     0.855922559E+02     0.560960826E+04     0.735683924E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.196432045E+04
                  86                 365     0.224500000E-04     0.481726864E+03     0.106222098E+05     0.280568557E+02     0.123253548E+04     0.900916845E+02     0.560699996E+04     0.735513487E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.183663597E+04
                  87                 365     0.224500000E-04     0.488468148E+03     0.106234637E+05     0.284856763E+02     0.131667414E+04     0.932545403E+02     0.561605484E+04     0.735348305E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.173345094E+04
                  88                 365     0.224500000E-04     0.492012248E+03     0.106246726E+05     0.287111205E+02     0.137929215E+04     0.955251488E+02     0.563333346E+04     0.735187975E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.164786764E+04
                  89                 365     0.224500000E-04     0.493875491E+03     0.106258381E+05     0.288296435E+02     0.142573230E+04     0.971868108E+02     0.565633672E+04     0.735032247E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.157514240E+04
                  90                 365     0.224500000E-04     0.493551824E+03     0.106270240E+05     0.288130847E+02     0.145615520E+04     0.981576507E+02     0.568793817E+04     0.734880096E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.151195680E+04
                  91                 365     0.224500000E-04     0.144804962E+03     0.106503256E+05     0.680849905E+01     0.216905183E+03     0.315052889E+02     0.730698107E+04     0.734456044E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.155240492E+04
                  92                 365     0.224500000E-04     0.311337925E+03     0.106505707E+05     0.172182907E+02     0.532627650E+03     0.606185598E+02     0.714706286E+04     0.734396194E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.119048834E+04
                  93                 365     0.224500000E-04     0.398889434E+03     0.106508070E+05     0.227874738E+02     0.783776020E+03     0.756341895E+02     0.703443692E+04     0.734348660E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.943822934E+03
                  94                 365     0.224500000E-04     0.444917959E+03     0.106510348E+05     0.257153999E+02     0.978368866E+03     0.852013399E+02     0.695486451E+04     0.734306805E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.770307659E+03
                  95                 365     0.224500000E-04     0.469116572E+03     0.106512545E+05     0.272547009E+02     0.112662365E+04     0.915447511E+02     0.689918135E+04     0.734268167E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.645711621E+03
                  96                 365     0.224500000E-04     0.481838529E+03     0.106514662E+05     0.280639588E+02     0.123832044E+04     0.958530265E+02     0.686083184E+04     0.734231539E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.554603426E+03
                  97                 365     0.224500000E-04     0.488526853E+03     0.106516704E+05     0.284894107E+02     0.132183890E+04     0.988379381E+02     0.683507222E+04     0.734196321E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.486840518E+03
                  98                 365     0.224500000E-04     0.492043112E+03     0.106518673E+05     0.287130838E+02     0.138396285E+04     0.100940690E+03     0.681845561E+04     0.734162218E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.435596645E+03
                  99                 365     0.224500000E-04     0.493891717E+03     0.106520570E+05     0.288306756E+02     0.143000567E+04     0.102442592E+03     0.680847074E+04     0.734129085E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.396184749E+03
                 100                 365     0.224500000E-04     0.493572389E+03     0.106522501E+05     0.288137630E+02     0.146014739E+04     0.103248694E+03     0.680530241E+04     0.734096073E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.365333184E+03
                 101                 365     0.224500000E-04     0.148046629E+03     0.106560474E+05     0.698600871E+01     0.233904368E+03     0.325935039E+02     0.743469437E+04     0.733764378E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.140435855E+04
                 102                 365     0.224500000E-04     0.313042170E+03     0.106560872E+05     0.173266892E+02     0.545664757E+03     0.617059677E+02     0.727293494E+04     0.733719179E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.104991379E+04
